LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
AUT,CGEXP,DEF,PC,A,2007,2.28,
AUT,CGEXP,DEF,PC,A,2008,2.64,
AUT,CGEXP,DEF,PC,A,2009,1.92,
AUT,CGEXP,DEF,PC,A,2010,1.82,
AUT,CGEXP,DEF,PC,A,2011,1.81,
AUT,CGEXP,DEF,PC,A,2012,1.71,
AUT,CGEXP,DEF,PC,A,2013,1.78,
AUT,CGEXP,DEF,PC,A,2014,1.63,
AUT,CGEXP,DEF,PC,A,2015,1.66,
AUT,CGEXP,DEF,PC,A,2016,1.83,
AUT,CGEXP,HEALTH,PC,A,2007,3.36,
AUT,CGEXP,HEALTH,PC,A,2008,3.58,
AUT,CGEXP,HEALTH,PC,A,2009,3.45,
AUT,CGEXP,HEALTH,PC,A,2010,3.79,
AUT,CGEXP,HEALTH,PC,A,2011,3.77,
AUT,CGEXP,HEALTH,PC,A,2012,3.89,
AUT,CGEXP,HEALTH,PC,A,2013,3.74,
AUT,CGEXP,HEALTH,PC,A,2014,3.51,
AUT,CGEXP,HEALTH,PC,A,2015,3.79,
AUT,CGEXP,HEALTH,PC,A,2016,3.98,
AUT,CGEXP,HOUCOMM,PC,A,2007,1.45,
AUT,CGEXP,HOUCOMM,PC,A,2008,1.45,
AUT,CGEXP,HOUCOMM,PC,A,2009,0.2,
AUT,CGEXP,HOUCOMM,PC,A,2010,0.22,
AUT,CGEXP,HOUCOMM,PC,A,2011,0.2,
AUT,CGEXP,HOUCOMM,PC,A,2012,0.17,
AUT,CGEXP,HOUCOMM,PC,A,2013,0.12,
AUT,CGEXP,HOUCOMM,PC,A,2014,0.1,
AUT,CGEXP,HOUCOMM,PC,A,2015,0.13,
AUT,CGEXP,HOUCOMM,PC,A,2016,0.1,
AUT,CGEXP,PUBORD,PC,A,2007,3.44,
AUT,CGEXP,PUBORD,PC,A,2008,3.42,
AUT,CGEXP,PUBORD,PC,A,2009,3.32,
AUT,CGEXP,PUBORD,PC,A,2010,3.38,
AUT,CGEXP,PUBORD,PC,A,2011,3.37,
AUT,CGEXP,PUBORD,PC,A,2012,3.37,
AUT,CGEXP,PUBORD,PC,A,2013,3.29,
AUT,CGEXP,PUBORD,PC,A,2014,3.22,
AUT,CGEXP,PUBORD,PC,A,2015,3.38,
AUT,CGEXP,PUBORD,PC,A,2016,3.52,
BEL,CGEXP,ECOAFF,PC,A,2007,5.83,
BEL,CGEXP,ECOAFF,PC,A,2008,6.46,
BEL,CGEXP,ECOAFF,PC,A,2009,7.01,
BEL,CGEXP,ECOAFF,PC,A,2010,7.57,
BEL,CGEXP,ECOAFF,PC,A,2011,8.39,
BEL,CGEXP,ECOAFF,PC,A,2012,9.66,
BEL,CGEXP,ECOAFF,PC,A,2013,7.84,
BEL,CGEXP,ECOAFF,PC,A,2014,7.59,
BEL,CGEXP,ECOAFF,PC,A,2015,7.28,
BEL,CGEXP,ECOAFF,PC,A,2016,6.93,
BEL,CGEXP,RECULTREL,PC,A,2007,0.28,
BEL,CGEXP,RECULTREL,PC,A,2008,0.26,
BEL,CGEXP,RECULTREL,PC,A,2009,0.27,
BEL,CGEXP,RECULTREL,PC,A,2010,0.26,
BEL,CGEXP,RECULTREL,PC,A,2011,0.24,
BEL,CGEXP,RECULTREL,PC,A,2012,0.24,
BEL,CGEXP,RECULTREL,PC,A,2013,0.23,
BEL,CGEXP,RECULTREL,PC,A,2014,0.25,
BEL,CGEXP,RECULTREL,PC,A,2015,0.24,
BEL,CGEXP,RECULTREL,PC,A,2016,0.23,
CZE,CGEXP,DEF,PC,A,2007,3.66,
CZE,CGEXP,DEF,PC,A,2008,3.45,
CZE,CGEXP,DEF,PC,A,2009,3.15,
CZE,CGEXP,DEF,PC,A,2010,3.05,
CZE,CGEXP,DEF,PC,A,2011,2.8,
CZE,CGEXP,DEF,PC,A,2012,2.45,
CZE,CGEXP,DEF,PC,A,2013,2.4,
CZE,CGEXP,DEF,PC,A,2014,2.26,
CZE,CGEXP,DEF,PC,A,2015,3.01,
CZE,CGEXP,DEF,PC,A,2016,2.48,
CZE,CGEXP,HEALTH,PC,A,2007,9.48,
CZE,CGEXP,HEALTH,PC,A,2008,9.49,
CZE,CGEXP,HEALTH,PC,A,2009,9.7,
CZE,CGEXP,HEALTH,PC,A,2010,10.11,
CZE,CGEXP,HEALTH,PC,A,2011,9.93,
CZE,CGEXP,HEALTH,PC,A,2012,9.45,
CZE,CGEXP,HEALTH,PC,A,2013,9.95,
CZE,CGEXP,HEALTH,PC,A,2014,10.3,
CZE,CGEXP,HEALTH,PC,A,2015,10.4,
CZE,CGEXP,HEALTH,PC,A,2016,10.68,
CZE,CGEXP,HOUCOMM,PC,A,2007,1.94,
CZE,CGEXP,HOUCOMM,PC,A,2008,1.63,
CZE,CGEXP,HOUCOMM,PC,A,2009,1.71,
CZE,CGEXP,HOUCOMM,PC,A,2010,1.78,
CZE,CGEXP,HOUCOMM,PC,A,2011,1.54,
CZE,CGEXP,HOUCOMM,PC,A,2012,0.94,
CZE,CGEXP,HOUCOMM,PC,A,2013,0.83,
CZE,CGEXP,HOUCOMM,PC,A,2014,0.84,
CZE,CGEXP,HOUCOMM,PC,A,2015,0.77,
CZE,CGEXP,HOUCOMM,PC,A,2016,0.7,
CZE,CGEXP,PUBORD,PC,A,2007,5.85,
CZE,CGEXP,PUBORD,PC,A,2008,5.78,
CZE,CGEXP,PUBORD,PC,A,2009,5.62,
CZE,CGEXP,PUBORD,PC,A,2010,5.58,
CZE,CGEXP,PUBORD,PC,A,2011,5.08,
CZE,CGEXP,PUBORD,PC,A,2012,4.69,
CZE,CGEXP,PUBORD,PC,A,2013,5.08,
CZE,CGEXP,PUBORD,PC,A,2014,4.99,
CZE,CGEXP,PUBORD,PC,A,2015,5.41,
CZE,CGEXP,PUBORD,PC,A,2016,5.33,
FIN,CGEXP,GRALPUBSER,PC,A,2007,22.21,
FIN,CGEXP,GRALPUBSER,PC,A,2008,21.87,
FIN,CGEXP,GRALPUBSER,PC,A,2009,21.27,
FIN,CGEXP,GRALPUBSER,PC,A,2010,21.27,
FIN,CGEXP,GRALPUBSER,PC,A,2011,22.74,
FIN,CGEXP,GRALPUBSER,PC,A,2012,22.75,
FIN,CGEXP,GRALPUBSER,PC,A,2013,22.7,
FIN,CGEXP,GRALPUBSER,PC,A,2014,22.53,
FIN,CGEXP,GRALPUBSER,PC,A,2015,23.05,
FIN,CGEXP,GRALPUBSER,PC,A,2016,22.37,
FRA,CGEXP,HEALTH,PC,A,2007,1.01,
FRA,CGEXP,HEALTH,PC,A,2008,0.95,
FRA,CGEXP,HEALTH,PC,A,2009,1.03,
FRA,CGEXP,HEALTH,PC,A,2010,1.18,
FRA,CGEXP,HEALTH,PC,A,2011,1.04,
FRA,CGEXP,HEALTH,PC,A,2012,1.04,
FRA,CGEXP,HEALTH,PC,A,2013,1.1,
FRA,CGEXP,HEALTH,PC,A,2014,1.08,
FRA,CGEXP,HEALTH,PC,A,2015,1.02,P
FRA,CGEXP,HEALTH,PC,A,2016,0.98,P
FRA,CGEXP,HOUCOMM,PC,A,2007,1.77,
FRA,CGEXP,HOUCOMM,PC,A,2008,1.59,
FRA,CGEXP,HOUCOMM,PC,A,2009,2.14,
FRA,CGEXP,HOUCOMM,PC,A,2010,2.01,
FRA,CGEXP,HOUCOMM,PC,A,2011,1.98,
FRA,CGEXP,HOUCOMM,PC,A,2012,1.79,
FRA,CGEXP,HOUCOMM,PC,A,2013,1.45,
FRA,CGEXP,HOUCOMM,PC,A,2014,1.34,
FRA,CGEXP,HOUCOMM,PC,A,2015,1.22,P
FRA,CGEXP,HOUCOMM,PC,A,2016,1.17,P
GRC,CGEXP,GRALPUBSER,PC,A,2007,51.46,
GRC,CGEXP,GRALPUBSER,PC,A,2008,49.56,
GRC,CGEXP,GRALPUBSER,PC,A,2009,50.29,
GRC,CGEXP,GRALPUBSER,PC,A,2010,52.51,
GRC,CGEXP,GRALPUBSER,PC,A,2011,54.86,
GRC,CGEXP,GRALPUBSER,PC,A,2012,47.28,
GRC,CGEXP,GRALPUBSER,PC,A,2013,38.93,
GRC,CGEXP,GRALPUBSER,PC,A,2014,48.17,
GRC,CGEXP,GRALPUBSER,PC,A,2015,44.94,
GRC,CGEXP,GRALPUBSER,PC,A,2016,49.21,
HUN,CGEXP,HEALTH,PC,A,2007,8.12,
HUN,CGEXP,HEALTH,PC,A,2008,6.52,
HUN,CGEXP,HEALTH,PC,A,2009,6.8,
HUN,CGEXP,HEALTH,PC,A,2010,10.15,
HUN,CGEXP,HEALTH,PC,A,2011,9.87,
HUN,CGEXP,HEALTH,PC,A,2012,13.47,
HUN,CGEXP,HEALTH,PC,A,2013,15.99,
HUN,CGEXP,HEALTH,PC,A,2014,15.33,
HUN,CGEXP,HEALTH,PC,A,2015,13.91,
HUN,CGEXP,HEALTH,PC,A,2016,12.04,
HUN,CGEXP,SOCPROT,PC,A,2007,21.97,
HUN,CGEXP,SOCPROT,PC,A,2008,22.26,
HUN,CGEXP,SOCPROT,PC,A,2009,24.71,
HUN,CGEXP,SOCPROT,PC,A,2010,22.71,
HUN,CGEXP,SOCPROT,PC,A,2011,18.01,
HUN,CGEXP,SOCPROT,PC,A,2012,16.32,
HUN,CGEXP,SOCPROT,PC,A,2013,13.02,
HUN,CGEXP,SOCPROT,PC,A,2014,11.6,
HUN,CGEXP,SOCPROT,PC,A,2015,11.99,
HUN,CGEXP,SOCPROT,PC,A,2016,11.92,
IRL,CGEXP,GRALPUBSER,PC,A,2007,11.34,
IRL,CGEXP,GRALPUBSER,PC,A,2008,10.89,
IRL,CGEXP,GRALPUBSER,PC,A,2009,11.78,
IRL,CGEXP,GRALPUBSER,PC,A,2010,8.98,
IRL,CGEXP,GRALPUBSER,PC,A,2011,13.35,
IRL,CGEXP,GRALPUBSER,PC,A,2012,16.64,
IRL,CGEXP,GRALPUBSER,PC,A,2013,17.43,
IRL,CGEXP,GRALPUBSER,PC,A,2014,16.81,
IRL,CGEXP,GRALPUBSER,PC,A,2015,15.11,
IRL,CGEXP,GRALPUBSER,PC,A,2016,14.73,
ITA,CGEXP,SOCPROT,PC,A,2007,16.49,
ITA,CGEXP,SOCPROT,PC,A,2008,15.1,
ITA,CGEXP,SOCPROT,PC,A,2009,16.41,
ITA,CGEXP,SOCPROT,PC,A,2010,19.76,
ITA,CGEXP,SOCPROT,PC,A,2011,19.84,
ITA,CGEXP,SOCPROT,PC,A,2012,20.42,
ITA,CGEXP,SOCPROT,PC,A,2013,22.19,
ITA,CGEXP,SOCPROT,PC,A,2014,23.69,
ITA,CGEXP,SOCPROT,PC,A,2015,23.78,
ITA,CGEXP,SOCPROT,PC,A,2016,23.48,
LUX,CGEXP,SOCPROT,PC,A,2007,23.3,
LUX,CGEXP,SOCPROT,PC,A,2008,23.12,
LUX,CGEXP,SOCPROT,PC,A,2009,24.46,
LUX,CGEXP,SOCPROT,PC,A,2010,24.04,
LUX,CGEXP,SOCPROT,PC,A,2011,24.2,
LUX,CGEXP,SOCPROT,PC,A,2012,40.42,
LUX,CGEXP,SOCPROT,PC,A,2013,40.28,
LUX,CGEXP,SOCPROT,PC,A,2014,40.39,P
LUX,CGEXP,SOCPROT,PC,A,2015,40.05,P
LUX,CGEXP,SOCPROT,PC,A,2016,39.72,P
NLD,CGEXP,ENVPROT,PC,A,2007,0.94,
NLD,CGEXP,ENVPROT,PC,A,2008,0.92,
NLD,CGEXP,ENVPROT,PC,A,2009,1.01,
NLD,CGEXP,ENVPROT,PC,A,2010,0.76,
NLD,CGEXP,ENVPROT,PC,A,2011,0.81,
NLD,CGEXP,ENVPROT,PC,A,2012,0.62,
NLD,CGEXP,ENVPROT,PC,A,2013,0.62,
NLD,CGEXP,ENVPROT,PC,A,2014,0.39,
NLD,CGEXP,ENVPROT,PC,A,2015,0.35,
NLD,CGEXP,ENVPROT,PC,A,2016,0.48,P
POL,CGEXP,ENVPROT,PC,A,2007,0.41,
POL,CGEXP,ENVPROT,PC,A,2008,0.57,
POL,CGEXP,ENVPROT,PC,A,2009,0.46,
POL,CGEXP,ENVPROT,PC,A,2010,0.56,
POL,CGEXP,ENVPROT,PC,A,2011,0.75,
POL,CGEXP,ENVPROT,PC,A,2012,0.65,
POL,CGEXP,ENVPROT,PC,A,2013,0.83,
POL,CGEXP,ENVPROT,PC,A,2014,1.01,
POL,CGEXP,ENVPROT,PC,A,2015,0.78,
POL,CGEXP,ENVPROT,PC,A,2016,0.6,
PRT,CGEXP,ECOAFF,PC,A,2007,8.75,
PRT,CGEXP,ECOAFF,PC,A,2008,9.8,
PRT,CGEXP,ECOAFF,PC,A,2009,9,
PRT,CGEXP,ECOAFF,PC,A,2010,11.91,
PRT,CGEXP,ECOAFF,PC,A,2011,8.66,
PRT,CGEXP,ECOAFF,PC,A,2012,7.75,
PRT,CGEXP,ECOAFF,PC,A,2013,7.19,
PRT,CGEXP,ECOAFF,PC,A,2014,15.45,E
PRT,CGEXP,ECOAFF,PC,A,2015,11.05,E
PRT,CGEXP,ECOAFF,PC,A,2016,6.87,E
PRT,CGEXP,RECULTREL,PC,A,2007,1.42,
PRT,CGEXP,RECULTREL,PC,A,2008,1.38,
PRT,CGEXP,RECULTREL,PC,A,2009,1.38,
PRT,CGEXP,RECULTREL,PC,A,2010,1.12,
PRT,CGEXP,RECULTREL,PC,A,2011,1.26,
PRT,CGEXP,RECULTREL,PC,A,2012,0.99,
PRT,CGEXP,RECULTREL,PC,A,2013,0.89,
PRT,CGEXP,RECULTREL,PC,A,2014,0.84,E
PRT,CGEXP,RECULTREL,PC,A,2015,0.79,E
PRT,CGEXP,RECULTREL,PC,A,2016,0.99,E
SVK,CGEXP,EDU,PC,A,2007,10.97,
SVK,CGEXP,EDU,PC,A,2008,10.62,
SVK,CGEXP,EDU,PC,A,2009,11.02,
SVK,CGEXP,EDU,PC,A,2010,10.79,
SVK,CGEXP,EDU,PC,A,2011,11.36,
SVK,CGEXP,EDU,PC,A,2012,11.34,
SVK,CGEXP,EDU,PC,A,2013,10.92,
SVK,CGEXP,EDU,PC,A,2014,11.21,
SVK,CGEXP,EDU,PC,A,2015,10.62,
SVK,CGEXP,EDU,PC,A,2016,10.89,
ESP,CGEXP,DEF,PC,A,2007,5.58,
ESP,CGEXP,DEF,PC,A,2008,5.41,
ESP,CGEXP,DEF,PC,A,2009,4.52,
ESP,CGEXP,DEF,PC,A,2010,5.06,
ESP,CGEXP,DEF,PC,A,2011,5.14,
ESP,CGEXP,DEF,PC,A,2012,3.61,
ESP,CGEXP,DEF,PC,A,2013,4.24,
ESP,CGEXP,DEF,PC,A,2014,3.98,
ESP,CGEXP,DEF,PC,A,2015,4.68,
ESP,CGEXP,DEF,PC,A,2016,4.96,P
ESP,CGEXP,ENVPROT,PC,A,2007,0.6,
ESP,CGEXP,ENVPROT,PC,A,2008,0.59,
ESP,CGEXP,ENVPROT,PC,A,2009,0.68,
ESP,CGEXP,ENVPROT,PC,A,2010,0.53,
ESP,CGEXP,ENVPROT,PC,A,2011,0.44,
ESP,CGEXP,ENVPROT,PC,A,2012,0.26,
ESP,CGEXP,ENVPROT,PC,A,2013,0.25,
ESP,CGEXP,ENVPROT,PC,A,2014,0.27,
ESP,CGEXP,ENVPROT,PC,A,2015,0.3,
ESP,CGEXP,ENVPROT,PC,A,2016,0.29,P
ESP,CGEXP,PUBORD,PC,A,2007,5.75,
ESP,CGEXP,PUBORD,PC,A,2008,5.88,
ESP,CGEXP,PUBORD,PC,A,2009,5.17,
ESP,CGEXP,PUBORD,PC,A,2010,5.71,
ESP,CGEXP,PUBORD,PC,A,2011,5.79,
ESP,CGEXP,PUBORD,PC,A,2012,4.25,
ESP,CGEXP,PUBORD,PC,A,2013,4.88,
ESP,CGEXP,PUBORD,PC,A,2014,5.02,
ESP,CGEXP,PUBORD,PC,A,2015,5.11,
ESP,CGEXP,PUBORD,PC,A,2016,5.12,P
SWE,CGEXP,ECOAFF,PC,A,2007,9.1,
SWE,CGEXP,ECOAFF,PC,A,2008,10.14,
SWE,CGEXP,ECOAFF,PC,A,2009,10.16,
SWE,CGEXP,ECOAFF,PC,A,2010,10.03,
SWE,CGEXP,ECOAFF,PC,A,2011,10.15,
SWE,CGEXP,ECOAFF,PC,A,2012,10.37,
SWE,CGEXP,ECOAFF,PC,A,2013,9.79,
SWE,CGEXP,ECOAFF,PC,A,2014,9.8,
SWE,CGEXP,ECOAFF,PC,A,2015,9.72,
SWE,CGEXP,ECOAFF,PC,A,2016,9.63,
SWE,CGEXP,RECULTREL,PC,A,2007,1.05,
SWE,CGEXP,RECULTREL,PC,A,2008,1.11,
SWE,CGEXP,RECULTREL,PC,A,2009,1.09,
SWE,CGEXP,RECULTREL,PC,A,2010,1.12,
SWE,CGEXP,RECULTREL,PC,A,2011,1.14,
SWE,CGEXP,RECULTREL,PC,A,2012,1.16,
SWE,CGEXP,RECULTREL,PC,A,2013,1.17,
SWE,CGEXP,RECULTREL,PC,A,2014,1.17,
SWE,CGEXP,RECULTREL,PC,A,2015,1.17,
SWE,CGEXP,RECULTREL,PC,A,2016,1.15,
GBR,CGEXP,ECOAFF,PC,A,2007,6.36,
GBR,CGEXP,ECOAFF,PC,A,2008,10.41,
GBR,CGEXP,ECOAFF,PC,A,2009,7.74,
GBR,CGEXP,ECOAFF,PC,A,2010,5.87,
GBR,CGEXP,ECOAFF,PC,A,2011,5.62,
GBR,CGEXP,ECOAFF,PC,A,2012,7.05,
GBR,CGEXP,ECOAFF,PC,A,2013,6.16,
GBR,CGEXP,ECOAFF,PC,A,2014,6.19,
GBR,CGEXP,ECOAFF,PC,A,2015,6.31,
GBR,CGEXP,ECOAFF,PC,A,2016,6.59,
GBR,CGEXP,RECULTREL,PC,A,2007,1.31,
GBR,CGEXP,RECULTREL,PC,A,2008,1.36,
GBR,CGEXP,RECULTREL,PC,A,2009,1.33,
GBR,CGEXP,RECULTREL,PC,A,2010,1.31,
GBR,CGEXP,RECULTREL,PC,A,2011,1.29,
GBR,CGEXP,RECULTREL,PC,A,2012,1.28,
GBR,CGEXP,RECULTREL,PC,A,2013,1.12,
GBR,CGEXP,RECULTREL,PC,A,2014,1.15,
GBR,CGEXP,RECULTREL,PC,A,2015,1.2,
GBR,CGEXP,RECULTREL,PC,A,2016,1.19,
EST,CGEXP,ECOAFF,PC,A,2007,11.45,
EST,CGEXP,ECOAFF,PC,A,2008,11.41,
EST,CGEXP,ECOAFF,PC,A,2009,11.28,
EST,CGEXP,ECOAFF,PC,A,2010,10.62,
EST,CGEXP,ECOAFF,PC,A,2011,11.27,
EST,CGEXP,ECOAFF,PC,A,2012,10.66,
EST,CGEXP,ECOAFF,PC,A,2013,10.22,
EST,CGEXP,ECOAFF,PC,A,2014,11.02,
EST,CGEXP,ECOAFF,PC,A,2015,10.2,
EST,CGEXP,ECOAFF,PC,A,2016,8.84,
SVN,CGEXP,HEALTH,PC,A,2007,11.59,
SVN,CGEXP,HEALTH,PC,A,2008,11.93,
SVN,CGEXP,HEALTH,PC,A,2009,12,
SVN,CGEXP,HEALTH,PC,A,2010,12.4,
SVN,CGEXP,HEALTH,PC,A,2011,12.04,
SVN,CGEXP,HEALTH,PC,A,2012,13.03,
SVN,CGEXP,HEALTH,PC,A,2013,9.18,
SVN,CGEXP,HEALTH,PC,A,2014,11.06,
SVN,CGEXP,HEALTH,PC,A,2015,11.91,
SVN,CGEXP,HEALTH,PC,A,2016,13.28,
SVN,CGEXP,SOCPROT,PC,A,2007,23.76,
SVN,CGEXP,SOCPROT,PC,A,2008,23.11,
SVN,CGEXP,SOCPROT,PC,A,2009,24.72,
SVN,CGEXP,SOCPROT,PC,A,2010,25.83,
SVN,CGEXP,SOCPROT,PC,A,2011,27.69,
SVN,CGEXP,SOCPROT,PC,A,2012,27.18,
SVN,CGEXP,SOCPROT,PC,A,2013,20.77,
SVN,CGEXP,SOCPROT,PC,A,2014,25.38,
SVN,CGEXP,SOCPROT,PC,A,2015,24.32,
SVN,CGEXP,SOCPROT,PC,A,2016,24.05,
BEL,CGEXP,GRALPUBSER,PC,A,2007,69.05,
BEL,CGEXP,GRALPUBSER,PC,A,2008,67.62,
BEL,CGEXP,GRALPUBSER,PC,A,2009,67.21,
BEL,CGEXP,GRALPUBSER,PC,A,2010,66.09,
BEL,CGEXP,GRALPUBSER,PC,A,2011,66.25,
BEL,CGEXP,GRALPUBSER,PC,A,2012,65.6,
BEL,CGEXP,GRALPUBSER,PC,A,2013,66.94,
BEL,CGEXP,GRALPUBSER,PC,A,2014,67.54,
BEL,CGEXP,GRALPUBSER,PC,A,2015,66.7,
BEL,CGEXP,GRALPUBSER,PC,A,2016,66.61,
DNK,CGEXP,GRALPUBSER,PC,A,2007,38.79,
DNK,CGEXP,GRALPUBSER,PC,A,2008,40.76,
DNK,CGEXP,GRALPUBSER,PC,A,2009,41.18,
DNK,CGEXP,GRALPUBSER,PC,A,2010,29.27,
DNK,CGEXP,GRALPUBSER,PC,A,2011,30.18,
DNK,CGEXP,GRALPUBSER,PC,A,2012,31.31,
DNK,CGEXP,GRALPUBSER,PC,A,2013,29.28,
DNK,CGEXP,GRALPUBSER,PC,A,2014,28.54,
DNK,CGEXP,GRALPUBSER,PC,A,2015,28.12,
DNK,CGEXP,GRALPUBSER,PC,A,2016,27.17,
FIN,CGEXP,HEALTH,PC,A,2007,10.94,
FIN,CGEXP,HEALTH,PC,A,2008,11.78,
FIN,CGEXP,HEALTH,PC,A,2009,11.86,
FIN,CGEXP,HEALTH,PC,A,2010,11.51,
FIN,CGEXP,HEALTH,PC,A,2011,11.63,
FIN,CGEXP,HEALTH,PC,A,2012,11.37,
FIN,CGEXP,HEALTH,PC,A,2013,11.28,
FIN,CGEXP,HEALTH,PC,A,2014,11.11,
FIN,CGEXP,HEALTH,PC,A,2015,10.35,
FIN,CGEXP,HEALTH,PC,A,2016,10.85,
DEU,CGEXP,GRALPUBSER,PC,A,2007,27.85,
DEU,CGEXP,GRALPUBSER,PC,A,2008,28.36,
DEU,CGEXP,GRALPUBSER,PC,A,2009,26.72,
DEU,CGEXP,GRALPUBSER,PC,A,2010,25.43,
DEU,CGEXP,GRALPUBSER,PC,A,2011,29.69,
